filename,true,condition,b,c,e,rule_branch,pred_passthrough,prob_passthrough,ptrue_passthrough,pred_gamma,prob_gamma,ptrue_gamma,pred_clahe,prob_clahe,ptrue_clahe,pred_stretch,prob_stretch,ptrue_stretch
data\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,lowcontrast,0.558462,0.140101,0.184573,passthrough,1,0.298397,0.285113,1,0.481332,0.017139,0,0.387745,0.387745,0,0.840326,0.840326
data\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,noisy,0.554655,0.472969,0.354454,passthrough,0,0.890931,0.890931,0,0.934265,0.934265,0,0.55731,0.55731,0,0.810481,0.810481
data\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,mixed,0.385556,0.303521,0.282828,passthrough,0,0.833601,0.833601,0,0.853537,0.853537,0,0.495605,0.495605,0,0.792388,0.792388
data\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,clean,0.494387,0.379461,0.317291,passthrough,0,0.968591,0.968591,0,0.987393,0.987393,0,0.661373,0.661373,0,0.877108,0.877108
data\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,lowlight,0.191737,0.416858,0.298574,passthrough,0,0.595242,0.595242,0,0.904845,0.904845,0,0.62952,0.62952,0,0.254533,0.254533
data\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,foggy,0.658596,0.208402,0.306595,passthrough,0,0.981028,0.981028,1,0.622545,0.274915,0,0.644324,0.644324,0,0.988535,0.988535
data\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,lowcontrast,0.493202,0.113889,0.156863,passthrough,0,0.870316,0.870316,1,0.652523,0.074811,0,0.602573,0.602573,0,0.979059,0.979059
data\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,noisy,0.489752,0.394267,0.374332,passthrough,0,0.944617,0.944617,0,0.955959,0.955959,0,0.763623,0.763623,0,0.863316,0.863316
data\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,mixed,0.612771,0.263656,0.345811,passthrough,0,0.989059,0.989059,0,0.769338,0.769338,0,0.652468,0.652468,0,0.9654,0.9654
data\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,clean,0.387907,0.45506,0.19551,passthrough,0,0.847503,0.847503,0,0.926054,0.926054,0,0.78162,0.78162,0,0.755844,0.755844
data\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,lowlight,0.143693,0.404611,0.175714,passthrough,0,0.377076,0.377076,0,0.753383,0.753383,0,0.512596,0.512596,0,0.196581,0.196581
data\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,foggy,0.600192,0.249823,0.181429,passthrough,0,0.959099,0.959099,0,0.549297,0.549297,0,0.890676,0.890676,0,0.932667,0.932667
data\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,lowcontrast,0.386739,0.136541,0.156531,passthrough,0,0.833091,0.833091,0,0.441837,0.441837,0,0.816685,0.816685,0,0.912652,0.912652
data\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,noisy,0.385613,0.470426,0.322857,passthrough,0,0.795224,0.795224,0,0.854703,0.854703,0,0.674067,0.674067,0,0.726259,0.726259
data\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,mixed,0.413922,0.285723,0.173878,passthrough,0,0.887526,0.887526,0,0.912368,0.912368,0,0.68542,0.68542,0,0.790328,0.790328
data\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,clean,0.480341,0.437905,0.257024,passthrough,0,0.924021,0.924021,0,0.972454,0.972454,0,0.816477,0.816477,0,0.747306,0.747306
data\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,lowlight,0.185909,0.372609,0.231009,passthrough,25,0.115187,0.045001,0,0.578314,0.578314,0,0.420052,0.420052,8,0.214536,0.011317
data\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,foggy,0.650878,0.240395,0.220604,passthrough,0,0.938663,0.938663,11,0.233461,0.095476,0,0.702644,0.702644,0,0.971688,0.971688
data\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,lowcontrast,0.475665,0.131384,0.120708,passthrough,0,0.264518,0.264518,32,0.150909,0.028648,0,0.375808,0.375808,0,0.709687,0.709687
data\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,noisy,0.478946,0.452651,0.33923,passthrough,0,0.685329,0.685329,0,0.949344,0.949344,0,0.346037,0.346037,0,0.419653,0.419653
data\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,mixed,0.304911,0.188121,0.217482,passthrough,1,0.198416,0.073217,0,0.629129,0.629129,0,0.299556,0.299556,1,0.260247,0.08364
data\gtsrb\GTSRB\Training\00000\00000_00001.ppm,0,clean,0.503168,0.357193,0.331111,passthrough,0,0.905252,0.905252,0,0.872618,0.872618,0,0.480936,0.480936,0,0.67042,0.67042
data\gtsrb\GTSRB\Training\00000\00000_00001.ppm,0,lowlight,0.188566,0.414385,0.273333,passthrough,0,0.215076,0.215076,0,0.675616,0.675616,0,0.230295,0.230295,8,0.124022,0.104823
data\gtsrb\GTSRB\Training\00000\00000_00001.ppm,0,foggy,0.663438,0.196203,0.272222,passthrough,0,0.811948,0.811948,1,0.601842,0.054795,0,0.535398,0.535398,0,0.833261,0.833261
data\gtsrb\GTSRB\Training\00000\00000_00001.ppm,0,lowcontrast,0.504227,0.107122,0.134444,passthrough,1,0.34876,0.26859,1,0.423753,0.026628,0,0.426144,0.426144,0,0.69878,0.69878
data\gtsrb\GTSRB\Training\00000\00000_00001.ppm,0,noisy,0.502248,0.374499,0.375556,passthrough,0,0.7365,0.7365,0,0.618221,0.618221,2,0.212048,0.200653,0,0.465873,0.465873
