crop_id,img_id,split,true,left,top,right,bottom,cw,ch,b,c,e,pred_passthrough,prob_passthrough,pred_gamma,prob_gamma,pred_clahe,prob_clahe,pred_stretch,prob_stretch
00040_60,40,calib,13,1017,202,1141,313,148,133,0.546931,0.680345,0.110089,13,0.733487,13,0.916039,13,0.594405,13,0.599741
00041_61,41,calib,38,997,484,1031,517,44,43,0.750968,0.506806,0.2463,38,0.615422,38,0.517853,38,0.556375,38,0.385765
00042_62,42,calib,18,916,300,995,374,95,88,0.240668,0.316402,0.119617,18,0.535457,18,0.840186,18,0.604412,18,0.181347
00043_63,43,calib,12,1036,296,1097,357,73,73,0.323831,0.585827,0.148808,12,0.520954,12,0.775105,12,0.746762,14,0.110859
00043_64,43,calib,36,1047,357,1092,402,55,55,0.299844,0.522659,0.131901,36,0.948964,36,0.677921,36,0.670897,32,0.108671
00043_65,43,calib,35,110,444,143,480,43,46,0.247208,0.113331,0.038423,38,0.233538,38,0.109467,35,0.159837,11,0.12808
00044_66,44,calib,12,752,403,782,433,40,40,0.124096,0.13239,0.098125,12,0.718726,12,0.941216,12,0.429327,19,0.309195
00045_67,45,calib,38,178,504,240,597,74,111,0.654765,0.692121,0.059411,35,0.285441,35,0.257257,35,0.293086,35,0.198131
00046_68,46,calib,12,1045,126,1166,247,145,145,0.875503,0.472004,0.086754,12,0.973628,12,0.945518,12,0.968089,12,0.961591
00047_69,47,calib,26,553,462,579,488,36,36,0.518882,0.506754,0.305556,26,0.899162,26,0.799971,23,0.229272,26,0.930974
00048_70,48,calib,40,780,443,811,474,41,41,0.576674,0.590172,0.337894,40,0.706267,40,0.289158,40,0.671679,40,0.703235
00048_71,48,calib,13,771,405,815,443,54,48,0.53602,0.732859,0.234568,13,0.82184,13,0.910908,13,0.819689,13,0.465184
00048_72,48,calib,38,341,523,380,562,49,49,0.555634,0.692255,0.199917,38,0.966143,38,0.973346,38,0.96234,38,0.94704
00049_73,49,calib,37,993,397,1025,430,42,43,0.430741,0.536461,0.266888,37,0.364249,37,0.41478,37,0.185867,35,0.197631
00049_74,49,calib,12,985,354,1028,397,53,53,0.554639,0.49076,0.297971,12,0.949059,12,0.993806,12,0.684055,12,0.903168
00050_75,50,calib,34,946,373,967,400,31,37,0.548787,0.538447,0.306888,34,0.974348,34,0.734722,34,0.931057,34,0.963891
00050_76,50,calib,13,941,339,972,372,41,43,0.606126,0.623811,0.252978,13,0.865698,13,0.825139,13,0.385542,13,0.446872
00051_77,51,calib,12,968,218,1037,287,83,83,0.257725,0.167817,0.120917,12,0.963018,12,0.995243,12,0.801353,12,0.295586
00052_78,52,calib,36,833,352,870,389,47,47,0.387893,0.351311,0.229063,36,0.882777,36,0.868571,40,0.20659,36,0.672411
00052_79,52,calib,12,829,281,879,331,60,60,0.402411,0.239768,0.217222,12,0.974367,12,0.993332,12,0.899176,12,0.688242
00053_80,53,calib,15,1156,333,1196,372,50,49,0.673677,0.571577,0.225306,15,0.814053,15,0.691231,15,0.785795,15,0.80032
00053_81,53,calib,35,766,438,799,471,43,43,0.471615,0.605635,0.268253,35,0.952444,35,0.947275,35,0.950449,35,0.949309
00054_82,54,calib,27,1113,436,1152,473,49,47,0.349747,0.45806,0.300478,27,0.531954,27,0.444232,27,0.216074,27,0.192582
00054_83,54,calib,0,1117,473,1146,502,39,39,0.366671,0.45652,0.296515,0,0.28449,1,0.414131,0,0.457854,0,0.197917
00054_84,54,calib,12,974,442,999,467,35,35,0.367824,0.396396,0.247347,12,0.98047,12,0.989275,12,0.856954,12,0.924775
00054_85,54,calib,38,456,520,476,540,30,30,0.504,0.579419,0.273333,38,0.927879,38,0.934339,38,0.444985,38,0.79925
00055_86,55,calib,25,702,413,747,455,55,52,0.43545,0.530945,0.275175,25,0.650518,25,0.735983,25,0.374504,25,0.691858
00056_87,56,calib,1,729,436,760,467,41,41,0.490324,0.531965,0.330161,1,0.644285,1,0.843981,1,0.622715,1,0.323425
00057_88,57,calib,1,990,418,1036,467,56,59,0.531924,0.624332,0.210351,1,0.608021,1,0.677674,1,0.654552,1,0.562201
00058_89,58,calib,12,786,394,824,435,48,51,0.718022,0.443489,0.301062,12,0.996173,12,0.999724,12,0.960261,12,0.995216
00059_90,59,calib,12,793,400,854,461,73,73,0.274901,0.474089,0.171139,12,0.913532,12,0.992846,12,0.874013,12,0.847456
00060_91,60,calib,38,296,508,323,535,37,37,0.300973,0.383942,0.278305,38,0.954816,38,0.951711,38,0.575806,38,0.647286
00060_92,60,calib,2,819,441,842,464,33,33,0.386226,0.449743,0.261708,2,0.969463,2,0.948672,2,0.927889,2,0.945988
00061_93,61,calib,2,1224,333,1285,394,73,73,0.146375,0.159991,0.126665,2,0.821176,2,0.869043,2,0.786888,2,0.626303
00062_94,62,calib,12,826,469,848,492,32,33,0.241923,0.418412,0.160985,12,0.862555,12,0.975623,12,0.258304,12,0.724688
00063_95,63,calib,9,815,499,837,521,32,32,0.097312,0.078718,0.09668,9,0.662112,9,0.447433,2,0.184933,19,0.38059
00064_96,64,calib,2,786,447,808,470,32,33,0.4319,0.397938,0.34375,2,0.768412,2,0.816593,2,0.70973,2,0.518643
00065_97,65,calib,9,973,377,1022,427,59,60,0.234231,0.258297,0.227401,9,0.895225,9,0.899074,9,0.413459,9,0.826532
00066_98,66,calib,38,569,483,618,535,59,62,0.391819,0.450473,0.216512,38,0.953208,38,0.974402,38,0.734871,38,0.942653
00067_99,67,calib,9,949,435,979,465,40,40,0.299495,0.410792,0.188125,9,0.97979,9,0.925886,9,0.624708,9,0.981382
00068_100,68,calib,13,849,458,872,479,33,31,0.402944,0.283603,0.220919,13,0.820307,13,0.724097,0,0.101054,13,0.778137
00069_101,69,calib,2,817,459,838,480,31,31,0.223199,0.095625,0.212279,2,0.863297,2,0.521549,2,0.804015,2,0.66788
00070_102,70,calib,23,946,300,1026,373,96,87,0.240833,0.048253,0.003233,23,0.232849,25,0.293826,23,0.22762,23,0.239236
00071_103,71,calib,24,788,437,828,473,50,46,0.19546,0.105139,0.12087,24,0.946713,24,0.91527,24,0.836251,24,0.683028
00071_104,71,calib,1,794,474,822,502,38,38,0.188768,0.106443,0.105956,1,0.896155,1,0.885384,1,0.193005,1,0.56555
00071_105,71,calib,9,794,503,821,529,37,36,0.294447,0.426534,0.198949,9,0.927884,9,0.764267,2,0.275439,9,0.901273
00072_106,72,calib,4,836,456,858,478,32,32,0.510631,0.472807,0.34082,4,0.626273,4,0.771839,0,0.245108,4,0.567501
00073_107,73,calib,23,723,431,752,457,39,36,0.242972,0.440426,0.202279,23,0.917042,23,0.864729,23,0.794735,23,0.943947
00073_108,73,calib,2,727,457,748,477,31,30,0.319823,0.437752,0.292473,2,0.832088,2,0.793399,2,0.894245,2,0.730675
00073_109,73,calib,9,727,476,749,497,32,31,0.332732,0.619534,0.207661,9,0.730708,9,0.759783,9,0.542742,9,0.568749
00073_110,73,calib,23,425,428,456,455,41,37,0.163473,0.13307,0.216216,23,0.974087,23,0.896998,23,0.632301,23,0.851723
00073_111,73,calib,2,430,453,452,475,32,32,0.186156,0.15458,0.241211,2,0.819562,2,0.834237,2,0.419114,2,0.406521
00073_112,73,calib,9,432,475,452,495,30,30,0.157111,0.159949,0.186667,9,0.901597,9,0.42361,19,0.170599,9,0.759035
00074_113,74,calib,38,383,527,421,569,48,52,0.532098,0.587785,0.142228,38,0.894183,38,0.898162,38,0.716135,38,0.796854
00074_114,74,calib,14,439,401,488,452,59,61,0.474833,0.454751,0.259794,14,0.83696,14,0.885519,14,0.548907,14,0.701523
00074_115,74,calib,14,929,378,981,431,62,63,0.518635,0.486753,0.267025,14,0.663883,14,0.772875,14,0.529319,14,0.526598
00075_116,75,calib,23,1120,350,1187,409,81,71,0.092875,0.145925,0.142932,23,0.46784,23,0.57641,23,0.21955,19,0.204145
00075_117,75,calib,4,1131,409,1179,456,58,57,0.113689,0.160604,0.182698,4,0.899553,4,0.910012,4,0.641084,4,0.721043
00076_118,76,calib,21,784,440,819,472,45,42,0.225982,0.531565,0.153439,21,0.916774,21,0.832122,21,0.920316,21,0.906104
00076_119,76,calib,2,789,471,815,495,36,34,0.316183,0.576064,0.227941,2,0.861792,2,0.928736,2,0.737036,2,0.73927
00077_120,77,calib,20,951,348,1015,408,76,72,0.820254,0.438661,0.203216,20,0.526206,20,0.291216,20,0.667058,20,0.466257
00077_121,77,calib,9,962,408,1011,455,59,57,0.814062,0.514724,0.181386,9,0.617159,13,0.256468,9,0.73683,9,0.335741
00078_122,78,calib,29,1211,206,1319,305,130,119,0.482868,0.642419,0.23969,29,0.355852,29,0.270542,29,0.268619,29,0.370281
00078_123,78,calib,13,800,462,821,483,31,31,0.398927,0.678912,0.311134,13,0.565608,13,0.481784,13,0.445615,13,0.290452
00079_124,79,calib,11,762,459,792,489,40,40,0.249806,0.169952,0.156875,11,0.961206,11,0.784202,11,0.745592,11,0.914547
00080_125,80,calib,9,829,381,880,432,61,61,0.423391,0.318409,0.187853,9,0.761506,9,0.678913,9,0.335523,9,0.795534
00081_126,81,calib,13,966,228,1044,299,94,85,0.459813,0.553581,0.231164,13,0.49585,13,0.776092,13,0.376469,13,0.379436
00081_127,81,calib,38,233,499,249,521,26,32,0.952324,0.204486,0.116587,35,0.250079,11,0.220617,38,0.090856,11,0.215277
00082_128,82,calib,38,247,492,331,580,100,106,0.321665,0.606978,0.10217,38,0.832907,38,0.875885,38,0.355094,23,0.376178
00083_129,83,calib,13,1054,208,1152,296,118,106,0.729548,0.67297,0.066118,13,0.875538,13,0.937253,13,0.590287,13,0.811792
00083_130,83,calib,40,1071,297,1142,368,85,85,0.464117,0.661525,0.157647,40,0.822013,40,0.765463,40,0.703424,40,0.670932
00084_131,84,calib,38,707,523,734,551,37,38,0.379929,0.414363,0.302276,38,0.970156,38,0.975057,38,0.810494,38,0.906874
00085_132,85,calib,1,846,429,875,458,39,39,0.204422,0.173815,0.257725,1,0.893408,1,0.939793,1,0.38453,1,0.676913
00086_133,86,calib,12,944,298,1007,361,75,75,0.283403,0.361966,0.183467,12,0.930861,12,0.99259,12,0.799608,12,0.811032
00087_134,87,calib,6,912,435,946,470,44,45,0.190099,0.156163,0.135354,6,0.957652,6,0.405955,6,0.567855,6,0.86464
00087_135,87,calib,6,306,421,340,456,44,45,0.242498,0.237321,0.137374,6,0.9245,6,0.448035,6,0.216651,6,0.743252
00088_136,88,calib,10,956,464,982,490,36,36,0.119202,0.116105,0.084105,10,0.922146,10,0.780668,2,0.189505,10,0.744797
00088_137,88,calib,10,410,464,436,490,36,36,0.197337,0.113696,0.114969,10,0.892486,10,0.825553,2,0.24113,10,0.828433
00088_138,88,calib,8,412,440,436,464,34,34,0.22047,0.109695,0.108997,8,0.774745,8,0.361497,8,0.320177,8,0.630793
00088_139,88,calib,8,956,440,981,464,35,34,0.119944,0.09948,0.085714,8,0.836444,8,0.573596,8,0.15406,8,0.55755
00089_140,89,calib,5,1025,438,1054,468,39,40,0.375674,0.195763,0.207051,5,0.706688,5,0.671145,5,0.350183,5,0.577973
00089_141,89,calib,5,634,447,660,474,36,37,0.342469,0.137583,0.204204,5,0.833657,5,0.62989,5,0.585751,5,0.727166
00090_142,90,calib,13,966,428,1007,464,51,46,0.587675,0.242952,0.104859,13,0.975711,13,0.966409,13,0.777121,13,0.984446
00091_143,91,calib,13,869,443,899,471,40,38,0.312995,0.092031,0.045395,13,0.938173,13,0.606433,13,0.212799,13,0.976684
00091_144,91,calib,13,1056,377,1096,414,50,47,0.391216,0.1782,0.12766,13,0.986886,13,0.956416,13,0.380431,13,0.984642
00091_145,91,calib,13,509,382,553,422,54,50,0.435027,0.151719,0.038889,13,0.969851,13,0.872565,13,0.464993,13,0.979527
00092_146,92,calib,13,718,440,739,462,31,32,0.384567,0.111754,0.047379,13,0.8234,13,0.365252,20,0.218458,13,0.890868
00092_147,92,calib,12,420,419,447,446,37,37,0.448313,0.088812,0.06282,12,0.911449,12,0.284066,6,0.39374,12,0.931693
00092_148,92,calib,35,423,449,444,470,31,31,0.407035,0.092756,0.040583,35,0.944275,35,0.44589,35,0.267401,35,0.971129
00093_149,93,calib,1,344,397,379,436,45,49,0.278437,0.226667,0.205442,1,0.752144,1,0.940397,1,0.159174,1,0.331957
00093_150,93,calib,1,1076,339,1119,389,53,60,0.230668,0.205421,0.178931,1,0.917182,1,0.973388,1,0.667124,1,0.761141
00094_151,94,calib,16,946,370,995,419,59,59,0.495446,0.523085,0.156564,16,0.874022,16,0.764593,16,0.665515,16,0.882845
00094_152,94,calib,16,113,316,189,392,92,92,0.292427,0.324231,0.149575,16,0.712371,16,0.515047,16,0.27991,16,0.741127
00095_153,95,calib,1,698,461,719,481,31,30,0.180152,0.190038,0.232258,1,0.781717,1,0.670386,1,0.282614,1,0.315977
00095_154,95,calib,19,695,437,723,461,38,34,0.187182,0.162822,0.151703,19,0.936294,19,0.957842,19,0.860137,19,0.951568
00096_155,96,calib,17,699,396,738,435,49,49,0.533912,0.569093,0.202416,17,0.849586,17,0.819511,17,0.771535,17,0.883205
00096_156,96,calib,17,1140,420,1176,458,46,48,0.460941,0.612695,0.162591,17,0.848779,17,0.882879,17,0.706313,17,0.73861
00097_157,97,calib,13,1125,338,1168,378,53,50,0.304775,0.213271,0.124528,13,0.937375,13,0.953621,13,0.312988,13,0.824631
00097_158,97,calib,13,288,328,334,368,56,50,0.36064,0.209627,0.110357,13,0.948436,13,0.972488,13,0.584907,13,0.876449
00097_159,97,calib,38,148,446,196,499,58,63,0.253186,0.21835,0.132458,38,0.96968,38,0.977606,38,0.907,38,0.899573
00098_160,98,calib,13,1206,244,1296,323,108,95,0.576643,0.536901,0.095029,13,0.922226,13,0.939761,13,0.538617,13,0.816684
00098_161,98,calib,13,594,286,668,353,88,81,0.335841,0.278566,0.15853,13,0.799071,13,0.811093,13,0.316603,13,0.594871
00099_162,99,calib,20,910,495,953,533,53,48,0.118805,0.196743,0.069969,20,0.975887,20,0.858081,20,0.743528,20,0.868866
00100_163,100,calib,30,413,507,451,541,48,44,0.129731,0.123161,0.104167,30,0.466025,25,0.21617,11,0.158442,11,0.179759
00100_164,100,calib,30,863,505,902,540,49,45,0.131069,0.185257,0.084354,20,0.646253,20,0.260897,20,0.446478,20,0.411276
00101_165,101,calib,5,835,406,891,461,68,67,0.149212,0.214601,0.12511,2,0.456453,2,0.710082,2,0.222842,5,0.301366
00102_166,102,calib,13,933,314,990,365,69,61,0.419725,0.6198,0.189119,13,0.839786,13,0.963976,13,0.620762,13,0.675888
00102_167,102,calib,34,945,374,984,415,49,51,0.341537,0.444474,0.181273,34,0.760719,34,0.366339,34,0.262101,34,0.908047
00103_168,103,calib,36,855,396,890,431,45,45,0.353348,0.326464,0.197037,36,0.972485,36,0.902443,36,0.684039,36,0.917345
00103_169,103,calib,12,847,349,897,397,60,58,0.36426,0.452835,0.130172,12,0.962921,12,0.993669,12,0.876637,12,0.857796
00104_170,104,calib,25,767,462,808,499,51,47,0.304317,0.222879,0.184397,25,0.936088,25,0.867844,25,0.326347,25,0.911814
00104_171,104,calib,13,695,461,730,492,45,41,0.162149,0.129558,0.042276,13,0.936902,13,0.915352,13,0.328123,13,0.741968
00105_172,105,calib,18,256,438,303,484,57,56,0.142833,0.147938,0.114348,18,0.600342,18,0.732833,18,0.338225,18,0.447364
00105_173,105,calib,26,958,378,1024,440,80,74,0.168387,0.178423,0.117905,26,0.815575,26,0.810161,26,0.18199,26,0.695229
00106_174,106,calib,25,902,369,985,443,99,88,0.254023,0.45297,0.142906,25,0.94319,25,0.972019,25,0.680378,25,0.794761
00107_175,107,calib,25,486,485,540,537,64,62,0.128255,0.154742,0.154738,25,0.949451,25,0.945823,25,0.510921,25,0.882474
00107_176,107,calib,1,490,536,529,576,49,50,0.141247,0.160979,0.202857,1,0.611994,1,0.586336,1,0.39063,1,0.315242
00109_177,109,calib,3,990,484,1020,513,40,39,0.174784,0.136935,0.110256,3,0.850024,3,0.377902,2,0.832199,3,0.730585
00110_178,110,calib,9,929,489,954,513,35,34,0.144241,0.150579,0.173109,9,0.650664,9,0.698826,9,0.119669,9,0.483907
00111_179,111,calib,3,1091,465,1123,497,42,42,0.240856,0.164977,0.136054,3,0.528324,5,0.344348,2,0.473799,5,0.406306
00111_180,111,calib,3,350,503,382,535,42,42,0.340552,0.254852,0.281179,3,0.947794,3,0.737448,3,0.622243,3,0.945163
00112_181,112,calib,3,366,473,399,508,43,45,0.427323,0.607436,0.224289,3,0.838125,3,0.781303,5,0.312182,3,0.733433
00112_182,112,calib,3,1186,475,1225,514,49,49,0.179063,0.220362,0.151603,3,0.96336,3,0.81495,3,0.56679,3,0.873396
00113_183,113,calib,10,351,413,419,480,82,81,0.428676,0.444296,0.148299,10,0.821247,10,0.819109,10,0.644537,10,0.742698
00114_184,114,calib,3,1169,421,1231,484,74,75,0.409646,0.601073,0.152072,3,0.798795,3,0.800513,3,0.340692,3,0.718747
00115_185,115,calib,14,850,218,950,317,120,119,0.596507,0.607569,0.111415,14,0.786655,14,0.854048,14,0.672412,14,0.646537
00115_186,115,calib,38,330,523,351,545,31,32,0.604159,0.571102,0.233871,38,0.710248,38,0.515671,40,0.271316,38,0.783783
00116_187,116,calib,35,1078,254,1136,312,70,70,0.634651,0.702964,0.083265,35,0.809364,35,0.852248,35,0.602345,35,0.74123
00116_188,116,calib,17,383,473,400,502,27,39,0.35773,0.320901,0.11396,17,0.831641,17,0.476686,17,0.629816,17,0.836636
00117_189,117,calib,17,99,425,131,466,42,51,0.231442,0.245207,0.151727,17,0.901587,17,0.883275,17,0.529274,17,0.867602
00117_190,117,calib,38,438,500,496,558,70,70,0.20583,0.170466,0.143061,38,0.954559,38,0.949603,38,0.76356,38,0.834767
00118_191,118,calib,38,229,505,285,564,68,71,0.273287,0.236007,0.142916,38,0.952299,38,0.971684,38,0.807016,38,0.907208
00119_192,119,calib,23,847,472,873,496,36,34,0.215436,0.349187,0.176471,23,0.975748,23,0.960603,23,0.936392,23,0.962923
00119_193,119,calib,12,1082,393,1120,431,48,48,0.353082,0.429354,0.151042,12,0.969353,12,0.995704,12,0.842012,12,0.8921
00120_194,120,calib,2,58,243,164,345,128,122,0.295986,0.500814,0.112065,2,0.744013,2,0.81905,2,0.691711,2,0.615917
00121_195,121,calib,7,91,308,185,416,112,130,0.54948,0.629854,0.107624,7,0.953381,7,0.895275,7,0.639134,7,0.879539
00122_196,122,calib,7,500,496,521,518,31,32,0.204238,0.188745,0.140121,7,0.686472,7,0.628651,33,0.275167,7,0.593664
00122_197,122,calib,7,883,498,904,520,31,32,0.141544,0.107731,0.069556,7,0.493298,5,0.219326,2,0.300922,7,0.430797
00123_198,123,calib,7,519,492,550,524,41,42,0.256692,0.206174,0.239257,7,0.936194,7,0.953498,7,0.557075,7,0.76155
00123_199,123,calib,7,1101,483,1133,516,42,43,0.182974,0.194376,0.166667,7,0.932261,7,0.899159,7,0.455207,7,0.808144
00124_200,124,calib,4,532,481,558,507,36,36,0.315989,0.281909,0.225309,4,0.735036,4,0.68248,0,0.288383,4,0.646863
00124_201,124,calib,4,976,470,1002,496,36,36,0.20207,0.224922,0.150463,4,0.915962,4,0.845616,19,0.250263,4,0.850296
00125_202,125,calib,2,1019,313,1106,401,105,106,0.432043,0.549912,0.165049,2,0.897168,2,0.935509,2,0.653602,2,0.819638
00126_203,126,calib,2,840,374,868,404,38,40,0.511685,0.434633,0.290132,2,0.79596,2,0.737197,2,0.765256,2,0.729536
